Date,SG Cowen
2006-02-01,0
2006-02-02,0
2006-02-03,0
2006-02-04,0
2006-02-05,0
2006-02-06,0
2006-02-07,0
2006-02-08,0
2006-02-09,0
2006-02-10,0
2006-02-11,0
2006-02-12,0
2006-02-13,0
2006-02-14,0
2006-02-15,0
2006-02-16,0
2006-02-17,0
2006-02-18,0
2006-02-19,0
2006-02-20,0
2006-02-21,0
2006-02-22,0
2006-02-23,0
2006-02-24,0
2006-02-25,0
2006-02-26,0
2006-02-27,0
2006-02-28,0
2006-03-01,0
2006-03-02,0
2006-03-03,0
2006-03-04,0
2006-03-05,0
2006-03-06,0
2006-03-07,0
2006-03-08,0
2006-03-09,0
2006-03-10,0
2006-03-11,0
2006-03-12,0
2006-03-13,0
2006-03-14,0
2006-03-15,0
2006-03-16,0
2006-03-17,0
2006-03-18,0
2006-03-19,0
2006-03-20,0
2006-03-21,0
2006-03-22,0
2006-03-23,0
2006-03-24,0
2006-03-25,0
2006-03-26,0
2006-03-27,0
2006-03-28,0
2006-03-29,0
2006-03-30,0
2006-03-31,0
2006-04-01,0
2006-04-02,0
2006-04-03,0
2006-04-04,0
2006-04-05,0
2006-04-06,0
2006-04-07,0
2006-04-08,0
2006-04-09,0
2006-04-10,0
2006-04-11,0
2006-04-12,0
2006-04-13,0
2006-04-14,0
2006-04-15,0
2006-04-16,0
2006-04-17,0
2006-04-18,0
2006-04-19,0
2006-04-20,0
2006-04-21,0
2006-04-22,0
2006-04-23,0
2006-04-24,0
2006-04-25,0
2006-04-26,0
2006-04-27,0
2006-04-28,0
2006-04-29,0
2006-04-30,0
2006-05-01,0
2006-05-02,0
2006-05-03,0
2006-05-04,0
2006-05-05,0
2006-05-06,0
2006-05-07,0
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-13,0
2006-05-14,0
2006-05-15,0
2006-05-16,0
2006-05-17,0
2006-05-18,0
2006-05-19,0
2006-05-20,0
2006-05-21,0
2006-05-22,0
2006-05-23,0
2006-05-24,0
2006-05-25,0
2006-05-26,0
2006-05-27,0
2006-05-28,0
2006-05-29,0
2006-05-30,0
2006-05-31,0
2006-06-01,0
2006-06-02,3
2006-06-03,6
2006-06-04,10
2006-06-05,13
2006-06-06,16
2006-06-07,20
2006-06-08,23
2006-06-09,26
2006-06-10,30
2006-06-11,33
2006-06-12,36
2006-06-13,40
2006-06-14,43
2006-06-15,46
2006-06-16,50
2006-06-17,53
2006-06-18,56
2006-06-19,60
2006-06-20,63
2006-06-21,66
2006-06-22,70
2006-06-23,73
2006-06-24,76
2006-06-25,80
2006-06-26,83
2006-06-27,86
2006-06-28,90
2006-06-29,93
2006-06-30,96
2006-07-01,100
2006-07-02,96
2006-07-03,93
2006-07-04,90
2006-07-05,87
2006-07-06,83
2006-07-07,80
2006-07-08,77
2006-07-09,74
2006-07-10,70
2006-07-11,67
2006-07-12,64
2006-07-13,61
2006-07-14,58
2006-07-15,54
2006-07-16,51
2006-07-17,48
2006-07-18,45
2006-07-19,41
2006-07-20,38
2006-07-21,35
2006-07-22,32
2006-07-23,29
2006-07-24,25
2006-07-25,22
2006-07-26,19
2006-07-27,16
2006-07-28,12
2006-07-29,9
2006-07-30,6
2006-07-31,3
2006-08-01,0
2006-08-02,0
2006-08-03,0
2006-08-04,0
2006-08-05,0
2006-08-06,0
2006-08-07,0
2006-08-08,0
2006-08-09,0
2006-08-10,0
2006-08-11,0
2006-08-12,0
2006-08-13,0
2006-08-14,0
2006-08-15,0
2006-08-16,0
2006-08-17,0
2006-08-18,0
2006-08-19,0
2006-08-20,0
2006-08-21,0
2006-08-22,0
2006-08-23,0
2006-08-24,0
2006-08-25,0
2006-08-26,0
2006-08-27,0
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0
2006-09-08,0
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,2
2007-02-03,5
2007-02-04,7
2007-02-05,10
2007-02-06,12
2007-02-07,15
2007-02-08,17
2007-02-09,20
2007-02-10,22
2007-02-11,25
2007-02-12,27
2007-02-13,30
2007-02-14,32
2007-02-15,35
2007-02-16,38
2007-02-17,40
2007-02-18,43
2007-02-19,45
2007-02-20,48
2007-02-21,50
2007-02-22,53
2007-02-23,55
2007-02-24,58
2007-02-25,60
2007-02-26,63
2007-02-27,65
2007-02-28,68
2007-03-01,71
2007-03-02,70
2007-03-03,70
2007-03-04,70
2007-03-05,70
2007-03-06,70
2007-03-07,70
2007-03-08,70
2007-03-09,70
2007-03-10,70
2007-03-11,70
2007-03-12,70
2007-03-13,70
2007-03-14,70
2007-03-15,70
2007-03-16,70
2007-03-17,69
2007-03-18,69
2007-03-19,69
2007-03-20,69
2007-03-21,69
2007-03-22,69
2007-03-23,69
2007-03-24,69
2007-03-25,69
2007-03-26,69
2007-03-27,69
2007-03-28,69
2007-03-29,69
2007-03-30,69
2007-03-31,69
2007-04-01,69
2007-04-02,69
2007-04-03,69
2007-04-04,69
2007-04-05,69
2007-04-06,69
2007-04-07,69
2007-04-08,69
2007-04-09,69
2007-04-10,69
2007-04-11,69
2007-04-12,69
2007-04-13,69
2007-04-14,69
2007-04-15,69
2007-04-16,69
2007-04-17,69
2007-04-18,69
2007-04-19,69
2007-04-20,69
2007-04-21,69
2007-04-22,69
2007-04-23,69
2007-04-24,69
2007-04-25,69
2007-04-26,69
2007-04-27,69
2007-04-28,69
2007-04-29,69
2007-04-30,69
2007-05-01,69
2007-05-02,68
2007-05-03,68
2007-05-04,68
2007-05-05,68
2007-05-06,68
2007-05-07,68
2007-05-08,67
2007-05-09,67
2007-05-10,67
2007-05-11,67
2007-05-12,67
2007-05-13,67
2007-05-14,66
2007-05-15,66
2007-05-16,66
2007-05-17,66
2007-05-18,66
2007-05-19,66
2007-05-20,65
2007-05-21,65
2007-05-22,65
2007-05-23,65
2007-05-24,65
2007-05-25,65
2007-05-26,64
2007-05-27,64
2007-05-28,64
2007-05-29,64
2007-05-30,64
2007-05-31,64
2007-06-01,64
2007-06-02,64
2007-06-03,64
2007-06-04,64
2007-06-05,64
2007-06-06,64
2007-06-07,64
2007-06-08,64
2007-06-09,64
2007-06-10,64
2007-06-11,64
2007-06-12,64
2007-06-13,64
2007-06-14,64
2007-06-15,64
2007-06-16,64
2007-06-17,64
2007-06-18,64
2007-06-19,64
2007-06-20,64
2007-06-21,64
2007-06-22,64
2007-06-23,64
2007-06-24,64
2007-06-25,64
2007-06-26,64
2007-06-27,64
2007-06-28,64
2007-06-29,64
2007-06-30,64
2007-07-01,64
2007-07-02,63
2007-07-03,63
2007-07-04,63
2007-07-05,63
2007-07-06,63
2007-07-07,63
2007-07-08,63
2007-07-09,63
2007-07-10,63
2007-07-11,63
2007-07-12,63
2007-07-13,63
2007-07-14,63
2007-07-15,63
2007-07-16,63
2007-07-17,62
2007-07-18,62
2007-07-19,62
2007-07-20,62
2007-07-21,62
2007-07-22,62
2007-07-23,62
2007-07-24,62
2007-07-25,62
2007-07-26,62
2007-07-27,62
2007-07-28,62
2007-07-29,62
2007-07-30,62
2007-07-31,62
2007-08-01,62
2007-08-02,61
2007-08-03,61
2007-08-04,61
2007-08-05,60
2007-08-06,60
2007-08-07,60
2007-08-08,60
2007-08-09,59
2007-08-10,59
2007-08-11,59
2007-08-12,59
2007-08-13,58
2007-08-14,58
2007-08-15,58
2007-08-16,58
2007-08-17,57
2007-08-18,57
2007-08-19,57
2007-08-20,57
2007-08-21,56
2007-08-22,56
2007-08-23,56
2007-08-24,56
